b_range,S,energy_mev,radius_fm,prob_bare,prob_dressed
2.4,30.25241542921637,-3.05152175,1.95460166,0.97016281,0.02983719
2.4,30.696859873660813,-3.43311944,1.88586233,0.96815867,0.03184133
2.4,31.14130431810526,-3.8454869,1.82587028,0.9660296,0.0339704
2.4,31.585748762549702,-4.27581235,1.7712506,0.96394864,0.03605136
2.4,32.03019320699415,-4.72617826,1.72424003,0.96184185,0.03815815
2.4,32.47463765143859,-5.18546233,1.68243339,0.95983168,0.04016832
2.5,27.207442554260616,-1.63568919,2.41588958,0.97940816,0.02059184
2.5,27.65188699870506,-1.93519678,2.27916637,0.97740374,0.02259626
2.5,28.058919176332882,-2.21332528,2.18090909,0.97565402,0.02434598
2.5,28.064208125436263,-2.22420969,2.17623782,0.97560578,0.02439422
2.5,28.06964903857987,-2.23498143,2.17538024,0.9755468,0.0244532
2.5,28.096331443149506,-2.25054528,2.16932158,0.9754293,0.0245707
2.5,28.54077588759395,-2.59592668,2.07422584,0.97339682,0.02660318
2.5,28.985220332038395,-2.96097002,1.9909249,0.97135272,0.02864728
2.5,29.429664776482838,-3.34952502,1.9193553,0.96930112,0.03069888
2.5,29.874109220927284,-3.75269052,1.85732321,0.96729697,0.03270303
2.5,30.318553665371727,-4.18621064,1.80168736,0.96519169,0.03480831
2.5,30.762998109816174,-4.63235,1.75207313,0.96314216,0.03685784
2.5,31.207442554260616,-5.09782567,1.7086618,0.96109017,0.03890983
2.8,26.058919176332882,-2.95410644,2.04949203,0.97332867,0.02667133
2.8,26.503363620777325,-3.36008135,1.9752966,0.97124905,0.02875095
2.8,26.94780806522177,-3.77964914,1.91042113,0.96921604,0.03078396
2.8,27.392252509666214,-4.21868624,1.85363193,0.96720367,0.03279633
2.8,27.83669695411066,-4.67590409,1.80316544,0.96524515,0.03475485
2.8,28.281141398555103,-5.16863574,1.75785045,0.96312949,0.03687051
2.8,28.72558584299955,-5.66500549,1.71682623,0.96109217,0.03890783
2.8,29.170030287443993,-6.19284498,1.68071529,0.95903382,0.04096618
2.8,29.614474731888436,-6.74194164,1.647085,0.95691647,0.04308353
2.8,30.058919176332882,-7.30719655,1.61667688,0.95484956,0.04515044
3.0,24.058919176332882,-2.59888823,2.16883177,0.97626863,0.02373137
3.0,24.503363620777325,-2.99080848,2.08056962,0.97417889,0.02582111
3.0,24.94780806522177,-3.38541479,2.00768764,0.97227917,0.02772083
3.0,25.392252509666214,-3.81286136,1.94284152,0.97031551,0.02968449
