r_fm,psi_abs,asymptotic_form,ratio_psi_to_asymptotic
8.5774,0.004183959468,0.1370039841,0.03053896203
8.6172,0.004125400949,0.1357461596,0.03039055367
8.657,0.00406772462,0.1344998831,0.03024333202
8.6968,0.004010915549,0.1332650486,0.03009728051
8.7366,0.003954959163,0.132041551,0.02995238343
8.7764,0.003899841243,0.1308292862,0.02980862585
8.8162,0.00384554791,0.1296281512,0.02966599364
8.856,0.003792065612,0.1284380438,0.02952447344
8.8958,0.003739381114,0.1272588626,0.02938405262
8.9356,0.003687481489,0.1260905074,0.02924471925
8.9754,0.003636354103,0.1249328788,0.02910646211
9.0152,0.00358598661,0.1237858783,0.02896927064
9.055,0.003536366939,0.1226494084,0.02883313492
9.0948,0.003487483282,0.1215233723,0.02869804563
9.1346,0.003439324093,0.1204076742,0.02856399407
9.1744,0.003391878068,0.1193022193,0.02843097209
9.2142,0.003345134145,0.1182069136,0.02829897207
9.254,0.003299081493,0.1171216637,0.02816798693
9.2938,0.003253709501,0.1160463775,0.02803801007
9.3336,0.003209007772,0.1149809634,0.02790903536
9.3734,0.003164966119,0.1139253308,0.0277810571
9.4132,0.003121574552,0.1128793898,0.02765407003
9.453,0.003078823274,0.1118430516,0.02752806928
9.4928,0.003036702673,0.110816228,0.02740305033
9.5326,0.002995203318,0.1097988315,0.02727900904
9.5724,0.002954315949,0.1087907757,0.02715594157
9.6122,0.002914031476,0.1077919748,0.0270338444
9.652,0.002874340966,0.1068023439,0.0269127143
9.6918,0.002835235646,0.1058217986,0.02679254826
9.7316,0.002796706891,0.1048502557,0.02667334355
9.7714,0.002758746223,0.1038876324,0.02655509764
9.8112,0.002721345303,0.102933847,0.0264378082
9.851,0.002684495931,0.1019888181,0.02632147308
9.8908,0.002648190035,0.1010524655,0.02620609028
9.9306,0.002612419675,0.1001247095,0.02609165796
9.9704,0.002577177032,0.09920547121,0.02597817439
10.0102,0.002542454406,0.09829467235,0.02586563794
10.05,0.002508244216,0.09739223548,0.02575404707
10.0898,0.002474538993,0.09649808381,0.02564340032
10.1296,0.002441331377,0.09561214129,0.02553369628
10.1694,0.002408614113,0.09473433256,0.02542493359
10.2092,0.002376380054,0.09386458292,0.02531711089
10.249,0.00234462215,0.0930028184,0.02521022686
10.2888,0.002313333451,0.09214896569,0.02510428016
10.3286,0.002282507102,0.09130295213,0.02499926945
10.3684,0.002252136342,0.09046470578,0.02489519335
10.4082,0.0022222145,0.0896341553,0.02479205044
10.448,0.002192734995,0.08881123006,0.02468983926
10.4878,0.002163691333,0.08799586004,0.02458855828
10.5276,0.002135077105,0.08718797588,0.0244882059
10.5674,0.002106885986,0.08638750884,0.02438878044
10.6072,0.002079111732,0.08559439085,0.02429028014
10.647,0.002051748178,0.08480855441,0.02419270311
10.6868,0.002024789239,0.08402993269,0.02409604738
10.7266,0.001998228909,0.08325845944,0.02400031086
10.7664,0.001972061254,0.08249406904,0.02390549135
10.8062,0.001946280417,0.08173669645,0.02381158649
10.846,0.001920880614,0.08098627726,0.0237185938
10.8858,0.001895856134,0.08024274761,0.02362651068
10.9256,0.001871201336,0.07950604426,0.02353533437
10.9654,0.00184691065,0.07877610453,0.02344506194
11.0052,0.001822978576,0.07805286633,0.02335569034
11.045,0.001799399681,0.07733626813,0.02326721634
11.0848,0.001776168602,0.07662624898,0.02317963655
11.1246,0.001753280039,0.07592274846,0.02309294744
11.1644,0.001730728763,0.07522570674,0.02300714527
11.2042,0.001708509606,0.0745350645,0.02292222617
11.244,0.001686617467,0.07385076301,0.02283818607
11.2838,0.00166504731,0.07317274405,0.02275502076
11.3236,0.001643794159,0.07250094993,0.02267272582
11.3634,0.001622853105,0.07183532351,0.02259129668
11.4032,0.001602219299,0.07117580816,0.02251072858
11.443,0.001581887954,0.07052234778,0.0224310166
11.4828,0.001561854344,0.06987488678,0.02235215563
11.5226,0.001542113806,0.06923337007,0.0222741404
11.5624,0.001522661734,0.06859774308,0.02219696546
11.6022,0.001503493584,0.06796795175,0.02212062517
11.642,0.001484604872,0.06734394248,0.02204511374
11.6818,0.001465991171,0.06672566221,0.02197042521
11.7216,0.001447648114,0.06611305832,0.02189655344
11.7614,0.001429571393,0.06550607871,0.02182349212
11.8012,0.001411756754,0.06490467174,0.02175123479
11.841,0.001394200004,0.06430878625,0.02167977481
11.8808,0.001376897007,0.06371837154,0.0216091054
11.9206,0.001359843681,0.06313337739,0.02153921961
11.9604,0.001343036001,0.06255375403,0.02147011034
12.0002,0.00132647,0.06197945216,0.02140177033
12.04,0.001310141765,0.06141042291,0.02133419218
12.0798,0.001294047436,0.06084661789,0.02126736835
12.1196,0.00127818321,0.06028798912,0.02120129115
12.1594,0.001262545338,0.05973448908,0.02113595274
12.1992,0.001247130125,0.05918607069,0.02107134518
12.239,0.001231933929,0.0586426873,0.02100746036
12.2788,0.00121695316,0.05810429267,0.02094429007
12.3186,0.001202184283,0.05757084101,0.02088182597
12.3584,0.001187623814,0.05704228693,0.0208200596
12.3982,0.001173268321,0.05651858547,0.02075898239
12.438,0.001159114423,0.05599969208,0.02069858565
12.4778,0.001145158791,0.05548556261,0.02063886059
12.5176,0.001131398148,0.05497615334,0.02057979831
12.5574,0.001117829263,0.05447142092,0.02052138983
12.5972,0.00110444896,0.05397132241,0.02046362606
12.637,0.001091254109,0.05347581527,0.02040649783
12.6768,0.001078241629,0.05298485735,0.02034999589
12.7166,0.001065408491,0.05249840689,0.02029411089
12.7564,0.00105275171,0.05201642249,0.02023883342
12.7962,0.001040268351,0.05153886316,0.02018415399
12.836,0.001027955525,0.05106568827,0.02013006307
12.8758,0.001015810393,0.05059685757,0.02007655102
12.9156,0.001003830157,0.05013233117,0.0200236082
12.9554,0.0009920120704,0.04967206956,0.01997122486
12.9952,0.0009803534281,0.04921603357,0.01991939124
