# S [MeV]   b [fm]   E0 [MeV]
18.421053  1.452632  -19.238038
18.421053  1.473684  -21.797471
18.421053  1.494737  -24.526872
18.421053  1.515789  -27.426751
18.421053  1.536842  -30.497022
18.421053  1.557895  -33.737062
18.421053  1.578947  -37.145768
18.421053  1.600000  -40.721605

18.947368  1.200000  -0.945462
18.947368  1.221053  -1.854410
18.947368  1.242105  -2.873638
18.947368  1.263158  -4.012501
18.947368  1.284211  -5.280080
18.947368  1.305263  -6.684964
18.947368  1.326316  -8.235052
18.947368  1.347368  -9.937407
18.947368  1.368421  -11.798157
18.947368  1.389474  -13.822456
18.947368  1.410526  -16.014487
18.947368  1.431579  -18.377502
18.947368  1.452632  -20.913884
18.947368  1.473684  -23.625220
18.947368  1.494737  -26.512374
18.947368  1.515789  -29.575563
18.947368  1.536842  -32.814415
18.947368  1.557895  -36.228038
18.947368  1.578947  -39.815062
18.947368  1.600000  -43.573697

19.473684  1.200000  -1.375540
19.473684  1.221053  -2.349724
19.473684  1.242105  -3.441858
19.473684  1.263158  -4.661571
19.473684  1.284211  -6.018097
19.473684  1.305263  -7.520045
19.473684  1.326316  -9.175223
19.473684  1.347368  -10.990505
19.473684  1.368421  -12.971765
19.473684  1.389474  -15.123852
19.473684  1.410526  -17.450629
19.473684  1.431579  -19.955019
19.473684  1.452632  -22.639082
19.473684  1.473684  -25.504094
19.473684  1.494737  -28.550620
19.473684  1.515789  -31.778589
19.473684  1.536842  -35.187355
19.473684  1.557895  -38.775755
19.473684  1.578947  -42.542163
19.473684  1.600000  -46.484533

20.000000  1.200000  -1.823670
20.000000  1.221053  -2.865733
20.000000  1.242105  -4.033547
20.000000  1.263158  -5.336961
20.000000  1.284211  -6.785297
20.000000  1.305263  -8.387130
20.000000  1.326316  -10.150125
20.000000  1.347368  -12.080931
20.000000  1.368421  -14.185138
20.000000  1.389474  -16.467283
20.000000  1.410526  -18.930902
20.000000  1.431579  -21.578595
20.000000  1.452632  -24.412107
20.000000  1.473684  -27.432408
20.000000  1.494737  -30.639776
20.000000  1.515789  -34.033856
20.000000  1.536842  -37.613733
20.000000  1.557895  -41.377982
20.000000  1.578947  -45.324719
20.000000  1.600000  -49.451649

