# S [MeV]   b [fm]   E0 [MeV]
18.421053  1.473684  4.904674
18.421053  1.494737  4.800667
18.421053  1.515789  4.685722
18.421053  1.536842  4.558491
18.421053  1.557895  4.417389
18.421053  1.578947  4.260528
18.421053  1.600000  4.085651

18.947368  1.200000  5.000000
18.947368  1.221053  5.000000
18.947368  1.242105  5.000000
18.947368  1.263158  5.000000
18.947368  1.284211  5.000000
18.947368  1.305263  5.000000
18.947368  1.326316  5.000000
18.947368  1.347368  5.000000
18.947368  1.368421  5.000000
18.947368  1.389474  5.000000
18.947368  1.410526  5.000000
18.947368  1.431579  5.000000
18.947368  1.452632  4.944336
18.947368  1.473684  4.843139
18.947368  1.494737  4.731212
18.947368  1.515789  4.607245
18.947368  1.536842  4.469693
18.947368  1.557895  4.316722
18.947368  1.578947  4.146140
18.947368  1.600000  3.955306

19.473684  1.200000  5.000000
19.473684  1.221053  5.000000
19.473684  1.242105  5.000000
19.473684  1.263158  5.000000
19.473684  1.284211  5.000000
19.473684  1.305263  5.000000
19.473684  1.326316  5.000000
19.473684  1.347368  5.000000
19.473684  1.368421  5.000000
19.473684  1.389474  5.000000
19.473684  1.410526  5.000000
19.473684  1.431579  4.985533
19.473684  1.452632  4.887426
19.473684  1.473684  4.778833
19.473684  1.494737  4.658482
19.473684  1.515789  4.524880
19.473684  1.536842  4.376253
19.473684  1.557895  4.210487
19.473684  1.578947  4.025031
19.473684  1.600000  3.816804

20.000000  1.200000  5.000000
20.000000  1.221053  5.000000
20.000000  1.242105  5.000000
20.000000  1.263158  5.000000
20.000000  1.284211  5.000000
20.000000  1.305263  5.000000
20.000000  1.326316  5.000000
20.000000  1.347368  5.000000
20.000000  1.368421  5.000000
20.000000  1.389474  5.000000
20.000000  1.410526  5.000000
20.000000  1.431579  4.933064
20.000000  1.452632  4.828070
20.000000  1.473684  4.711635
20.000000  1.494737  4.582320
20.000000  1.515789  4.438419
20.000000  1.536842  4.277902
20.000000  1.557895  4.098324
20.000000  1.578947  3.896729
20.000000  1.600000  3.669519

